Name,NOC,Discipline,Gender,Age,BirthDate,EventDate,Venue
  achouri haikel  ,tunisia,Wrestling,M,33,1995-10-21,2021-07-26,Tokyo Stadium
ACKERMANN SIMONE,south africa,Triathlon,M,34,1995-01-13,2021-07-31,Ariake Arena
ACOSTA BRISEIDA,mexico,Taekwondo,F,24,1996-10-28,2021-08-08,Tokyo Stadium
  acosta fernandez yasmani  ,  Chile  ,Wrestling,F,31,1998-05-15,2021-07-29,Musashino Forest
ACOSTA GIRALDO VALENTINA,  Colombia  ,Archery,M,33,1986-10-04,2021-07-25,Tokyo Stadium
ACOSTA MARCELO,el salvador,Swimming,M,31,2000-05-30,2021-08-04,Olympic Aquatics Centre
ACUNA YENNY,  Chile  ,Football,F,31,1999-02-19,2021-07-24,Ariake Arena
ADACHI KAZUYA,japan,Canoe Slalom,M,23,1994-02-02,2021-08-03,Musashino Forest
ADACHI SEIYA,japan,Water Polo,F,30,1993-01-15,2021-08-08,Tokyo Stadium
ADAM AMAL,  Egypt  ,Archery,M,29,1988-04-29,2021-08-08,Tokyo Stadium
ADAM CONSTANTIN,  Romania  ,Rowing,F,26,2004-08-12,2021-08-02,Olympic Aquatics Centre
ADAMEK KLAUDIA,poland,Athletics,F,29,2001-06-26,2021-07-26,Musashino Forest
  adamkiewicz patrycja  ,poland,Taekwondo,M,23,1986-01-02,2021-08-04,Tokyo Stadium
  adams liam  ,  Australia  ,Athletics,M,24,2003-08-30,2021-07-25,Musashino Forest
ADAMS PAUL,  Australia  ,Shooting,M,25,1996-03-07,2021-08-04,Musashino Forest
  adams taeyanna  ,  Federated States of Micronesia  ,Swimming,F,34,1991-01-30,2021-08-04,Musashino Forest
  adamus bartlomiej stejan  ,  Poland  ,Weightlifting,M,24,1995-06-29,2021-07-24,Tokyo Stadium
  adao de sa mateus daniel  ,brazil,Athletics,M,32,1989-08-25,2021-07-26,Ariake Arena
ADAR YASEMIN,turkey,Wrestling,M,27,1999-05-04,2021-08-02,Tokyo Stadium
ADEBAYO EDRICE FEMI,  United States of America  ,Basketball,F,29,1987-03-18,2021-08-02,Olympic Aquatics Centre
  adegoke enoch  ,  Nigeria  ,Athletics,F,27,1992-10-24,2021-08-02,Olympic Aquatics Centre
ADEKUOROYE ODUNAYO FOLASADE,  Nigeria  ,Wrestling,M,21,1995-05-20,2021-07-31,Olympic Aquatics Centre
ADEL IBRAHIM,  Egypt  ,Football,F,19,2001-06-22,2021-08-02,Ariake Arena
  adeniyi aminat oluwafunmilayo  ,  Nigeria  ,Wrestling,F,32,1988-08-26,2021-07-29,Musashino Forest
ADESOKAN DORCAS AJOKE,nigeria,Badminton,F,20,2003-02-12,2021-08-02,Ariake Arena
ADILKHANOVA ALINA,  Kazakhstan  ,Rhythmic Gymnastics,F,27,1997-12-31,2021-07-27,Ariake Arena
  adlerteg jonna  ,sweden,Artistic Gymnastics,F,29,1995-01-14,2021-08-07,Musashino Forest
ADLINGTON SARAH,great britain,Judo,M,22,1993-02-06,2021-07-29,Ariake Arena
  ado pauline  ,  France  ,Surfing,M,29,1992-10-05,2021-07-28,Ariake Arena
ADOLF BALAZS,hungary,Canoe Sprint,M,30,1988-03-28,2021-08-04,Tokyo Stadium
  adomavicius aurimas  ,lithuania,Rowing,F,26,1993-05-10,2021-08-08,Musashino Forest
  aedo yanara  ,chile,Football,F,32,2000-10-31,2021-07-30,Musashino Forest
AERNOUDTS VIOLAINE,  France  ,Rowing,M,18,1985-03-02,2021-07-27,Ariake Arena
AFANADOR BRIAN,  Puerto Rico  ,Table Tennis,M,24,2001-01-18,2021-07-23,Musashino Forest
  afonso paixao  ,angola,Sailing,M,23,2000-08-25,2021-08-06,Musashino Forest
AFOUMBA GILLES ANTHONY,  Congo  ,Athletics,M,24,2001-04-10,2021-07-26,Tokyo Stadium
AFREMOVA NATALIA,roc,Cycling BMX Racing,M,34,2001-02-23,2021-07-30,Musashino Forest
AFRIAT CHARLOTTE,  Monaco  ,Athletics,F,34,2002-08-25,2021-08-05,Olympic Aquatics Centre
  agada caleb  ,  Nigeria  ,Basketball,F,32,1994-12-28,2021-07-26,Musashino Forest
  agahozo alphonsine  ,  Rwanda  ,Swimming,M,34,1991-04-15,2021-08-06,Olympic Aquatics Centre
AGARD TERRENCE,  Netherlands  ,Athletics,F,33,1991-05-19,2021-07-30,Tokyo Stadium
AGARIE YUTO,  Japan  ,Handball,F,24,2004-02-21,2021-08-06,Olympic Aquatics Centre
  agatsuma haruka  ,japan,Baseball/Softball,F,28,2005-07-03,2021-08-06,Olympic Aquatics Centre
  agbegnenou clarisse  ,  France  ,Judo,F,19,1997-04-05,2021-07-25,Olympic Aquatics Centre
AGERO EDEN,kenya,Rugby Sevens,M,22,1996-02-08,2021-08-02,Musashino Forest
AGGEFORS MIKAEL,sweden,Handball,F,32,1986-01-15,2021-07-24,Ariake Arena
  aghaeihajiagha soraya  ,  Islamic Republic of Iran  ,Badminton,F,18,1999-05-26,2021-08-03,Musashino Forest
  aghamirova zohra  ,azerbaijan,Rhythmic Gymnastics,M,32,1998-07-03,2021-07-29,Ariake Arena
AGHAMIRZAEIJENAGHRAD ALI,islamic republic of iran,Canoe Sprint,F,22,1996-12-09,2021-07-25,Musashino Forest
AGHASYAN LEVON,armenia,Athletics,M,26,2005-04-24,2021-07-28,Tokyo Stadium
  aghayev rafael  ,  Azerbaijan  ,Karate,M,22,1989-07-22,2021-07-30,Olympic Aquatics Centre
  agiomor ekerekeme  ,  Nigeria  ,Wrestling,M,25,1999-09-03,2021-07-29,Ariake Arena
AGIURGIUCULESE ALEXANDRA,italy,Rhythmic Gymnastics,F,27,1994-10-26,2021-07-28,Olympic Aquatics Centre
  agrali yavuz  ,  Turkey  ,Athletics,F,20,1988-07-08,2021-08-05,Ariake Arena
AGRUSTI ANDREA,italy,Athletics,F,34,2001-05-19,2021-08-07,Olympic Aquatics Centre
AGUIAR MAYRA,  Brazil  ,Judo,F,21,1991-11-30,2021-08-03,Tokyo Stadium
AGUILAR ALI,united states of america,Baseball/Softball,M,22,2004-07-25,2021-07-23,Musashino Forest
AGUILAR ANDRES,  Chile  ,Archery,M,34,1997-10-08,2021-08-01,Olympic Aquatics Centre
  aguilar evelis jazmin  ,  Colombia  ,Athletics,F,29,1992-08-09,2021-07-25,Olympic Aquatics Centre
AGUINAGALDE AQUIZU JULEN,  Spain  ,Handball,F,18,1993-07-16,2021-08-01,Musashino Forest
  aguirre eduardo  ,  Mexico  ,Football,M,23,2002-03-07,2021-08-01,Tokyo Stadium
AGUIRRE ERICK,mexico,Football,F,22,2002-09-25,2021-07-29,Tokyo Stadium
  aguirre unai  ,  Spain  ,Water Polo,F,22,2003-10-25,2021-07-24,Musashino Forest
  agundez garcia gabriela  ,mexico,Diving,M,30,2002-10-01,2021-07-28,Olympic Aquatics Centre
  ah tong marion faustino  ,samoa,Boxing,F,32,1999-05-25,2021-08-02,Musashino Forest
  ahmad muhammad isa  ,  Brunei Darussalam  ,Swimming,F,33,1985-08-17,2021-08-03,Musashino Forest
  ahmed aiman  ,  Saudi Arabia  ,Football,M,32,1994-09-07,2021-07-27,Tokyo Stadium
AHMED ALI YUSUF ABDULLA ESSA,  Bahrain  ,Swimming,F,22,1990-02-13,2021-08-01,Tokyo Stadium
AHMED ENAS,egypt,Wrestling,M,34,1993-07-12,2021-07-26,Ariake Arena
AHMED JUNAYNA,  Bangladesh  ,Swimming,F,26,2001-11-21,2021-07-27,Olympic Aquatics Centre
AHMED MOHAMED,bahrain,Handball,M,25,2003-12-06,2021-07-30,Olympic Aquatics Centre
AHMED MOHAMMED,  Canada  ,Athletics,F,33,1996-08-27,2021-08-03,Ariake Arena
AHMED SAMAA,  Egypt  ,Canoe Sprint,F,32,1999-01-10,2021-07-24,Musashino Forest
AHOUANWANOU ODILE,  Benin  ,Athletics,F,18,1987-12-12,2021-07-26,Ariake Arena
AHOURE MURIELLE,côte d'ivoire,Athletics,F,33,1987-05-02,2021-07-26,Tokyo Stadium
  ahsinger nicole  ,united states of america,Trampoline Gymnastics,F,31,1992-04-21,2021-08-06,Musashino Forest
AHYE MICHELLE-LEE,trinidad and tobago,Athletics,F,19,1992-10-06,2021-08-02,Tokyo Stadium
AI YANHAN,  People's Republic of China  ,Swimming,M,21,1987-09-22,2021-08-01,Tokyo Stadium
  aicardi matteo  ,italy,Water Polo,M,34,1991-02-09,2021-08-01,Olympic Aquatics Centre
  aicoboae vlad  ,  Romania  ,Rowing,F,27,2004-08-01,2021-08-04,Ariake Arena
AIGNER HANNES,  Germany  ,Canoe Slalom,M,24,1985-12-26,2021-08-04,Musashino Forest
  ailincai adriana  ,  Romania  ,Rowing,F,22,2005-02-16,2021-08-06,Ariake Arena
AIMABLE STEVEN,senegal,Swimming,M,31,2000-07-05,2021-08-02,Ariake Arena
  ainagulov mirambek  ,kazakhstan,Wrestling,F,24,1998-09-17,2021-08-04,Tokyo Stadium
  aioani marian  ,romania,Football,M,32,1997-11-15,2021-07-23,Ariake Arena
AISAH WINDY CANTIKA,  Indonesia  ,Weightlifting,F,34,1991-07-20,2021-07-26,Olympic Aquatics Centre
AIT DAOUD KAMEL,  Algeria  ,Rowing,M,32,1990-05-07,2021-07-29,Olympic Aquatics Centre
  ait ouagram zied  ,morocco,Wrestling,M,28,2004-01-18,2021-08-08,Olympic Aquatics Centre
  ait said samir  ,  France  ,Artistic Gymnastics,F,19,1993-09-03,2021-08-07,Tokyo Stadium
AITCHISON HOLLY,great britain,Rugby Sevens,M,24,1990-06-02,2021-08-02,Musashino Forest
  aizawa akira  ,  Japan  ,Athletics,M,30,1989-10-12,2021-07-29,Ariake Arena
AJAYI YINKA,  Nigeria  ,Athletics,M,24,1996-05-17,2021-07-28,Olympic Aquatics Centre
AKAHO HIMAWARI,  Japan  ,Basketball,M,20,2005-04-25,2021-07-26,Musashino Forest
  akgul taha  ,  Turkey  ,Wrestling,M,29,1988-07-15,2021-07-30,Musashino Forest
  akgun omer  ,turkey,Shooting,F,33,2005-08-02,2021-07-31,Ariake Arena
AKHAIMOVA LILIIA,roc,Artistic Gymnastics,M,34,1996-02-13,2021-08-01,Musashino Forest
  akhmadiev ildar  ,tajikistan,Athletics,F,26,1995-10-09,2021-07-23,Musashino Forest
  akhmetova tatyana  ,kazakhstan,Wrestling,F,31,2005-10-02,2021-08-06,Ariake Arena
  akhtar muhammad khalil  ,  Pakistan  ,Shooting,F,32,1992-01-24,2021-08-03,Musashino Forest
AKIMENKO MIKHAIL,roc,Athletics,F,20,1997-02-05,2021-08-05,Musashino Forest
  akinradewo foluke  ,  United States of America  ,Volleyball,M,23,1999-04-02,2021-07-29,Tokyo Stadium
AKINYI ELIZABETH,  Kenya  ,Boxing,F,31,2000-05-09,2021-08-05,Musashino Forest
  akkus mihrac  ,turkey,Judo,M,30,2005-03-12,2021-08-08,Musashino Forest
AKMAL NURUL,  Indonesia  ,Weightlifting,M,25,1986-10-15,2021-08-05,Musashino Forest
AKMATALIEV ERNAZAR,  Kyrgyzstan  ,Wrestling,M,28,1991-02-28,2021-08-04,Tokyo Stadium
  akmens roberts  ,latvia,Canoe Sprint,F,18,1985-01-09,2021-08-02,Ariake Arena
  akoz simge sebnem  ,  Turkey  ,Volleyball,F,26,2004-08-16,2021-07-28,Ariake Arena
AKTAS UGUR,turkey,Karate,F,29,1997-08-31,2021-07-26,Musashino Forest
  al adawi issa samir hamed  ,  Oman  ,Swimming,M,32,1991-05-18,2021-07-26,Ariake Arena
AL AHRACH ALI,  Morocco  ,Equestrian,F,33,1992-11-13,2021-07-29,Olympic Aquatics Centre
  al alawi mazoon  ,oman,Athletics,F,23,1994-05-12,2021-07-28,Olympic Aquatics Centre
  al faihan abdulrahman  ,  Kuwait  ,Shooting,M,23,1993-10-15,2021-08-08,Olympic Aquatics Centre
  al harthi barakat  ,oman,Athletics,F,21,2002-09-27,2021-07-27,Musashino Forest
AL KHAFAJI MOHAMMED,  Iraq  ,Rowing,F,27,1986-01-13,2021-08-04,Musashino Forest
AL KHATRI HAMED,oman,Shooting,F,29,2004-01-31,2021-07-26,Musashino Forest
  al manwari bashair obaid  ,  Qatar  ,Athletics,M,25,1987-10-20,2021-07-29,Olympic Aquatics Centre
AL OBAIDI AKER,  Refugee Olympic Team  ,Wrestling,M,28,1998-11-20,2021-07-25,Musashino Forest
AL RASHEDI MANSOUR,  Kuwait  ,Shooting,F,20,1999-10-03,2021-07-27,Tokyo Stadium
AL RUMAIHI MOHAMMED,qatar,Shooting,M,29,1985-01-29,2021-07-23,Olympic Aquatics Centre
AL YAARI AHMED,  Yemen  ,Athletics,M,25,1999-11-06,2021-07-28,Tokyo Stadium
AL YASSIN MAZEN MOUTAN,  Saudi Arabia  ,Athletics,F,34,1986-10-22,2021-07-23,Ariake Arena
  al-kaabi fatimah abbas waheeb  ,  Iraq  ,Shooting,M,23,1995-01-22,2021-07-29,Tokyo Stadium
AL-KANJARI AMUR SALIM RAMADHAN,  Oman  ,Weightlifting,F,28,1998-01-29,2021-07-26,Musashino Forest
AL-OBAIDLY ABDULAZIZ,qatar,Swimming,M,31,1988-09-08,2021-08-04,Ariake Arena
  al-raimi yasameen  ,  Yemen  ,Shooting,M,24,1997-12-29,2021-08-05,Musashino Forest
AL-SADEQ JULYANA,  Jordan  ,Taekwondo,M,33,1993-12-15,2021-08-07,Tokyo Stadium
AL-WIR AMRO,jordan,Swimming,F,31,1992-03-19,2021-07-23,Ariake Arena
AL-YAMANI MOKHTAR,yemen,Swimming,M,21,1995-12-18,2021-08-06,Tokyo Stadium
ALAKHVERDOVI SAKHIL,  Georgia  ,Boxing,F,23,1990-06-21,2021-08-04,Musashino Forest
ALAMIAN NIMA,islamic republic of iran,Table Tennis,M,26,1986-05-31,2021-07-30,Tokyo Stadium
  alarie elissa  ,  Canada  ,Rugby Sevens,M,18,1989-08-15,2021-07-27,Ariake Arena
  alarza fernando  ,  Spain  ,Triathlon,M,28,1986-07-01,2021-07-31,Ariake Arena
ALBA CASTILLO RAFAEL YUNIER,cuba,Taekwondo,M,32,2004-02-14,2021-07-23,Tokyo Stadium
  albarracin matias  ,argentina,Equestrian,M,30,2005-03-29,2021-08-01,Ariake Arena
ALBAWARDI ZAID,saudi arabia,Football,F,19,2004-07-04,2021-07-23,Tokyo Stadium
  albayrak vedat  ,  Turkey  ,Judo,M,22,1989-09-29,2021-08-04,Musashino Forest
  albers felice  ,  Netherlands  ,Hockey,M,33,1994-03-12,2021-08-01,Olympic Aquatics Centre
ALBERTARRIO AGUSTINA,argentina,Hockey,F,29,2005-07-17,2021-07-28,Ariake Arena
  albicy andrew  ,france,Basketball,F,26,1988-08-25,2021-08-05,Ariake Arena
  albrecht samuel  ,brazil,Sailing,F,21,1986-04-18,2021-08-05,Ariake Arena
  albrikan feras  ,saudi arabia,Football,F,20,1992-07-16,2021-07-29,Olympic Aquatics Centre
  albukhari amin  ,  Saudi Arabia  ,Football,M,20,1987-05-29,2021-08-06,Musashino Forest
  aldabbagh yasmeen  ,saudi arabia,Athletics,F,34,1996-03-12,2021-07-30,Olympic Aquatics Centre
ALDASS SANDA,refugee olympic team,Judo,F,31,2004-04-02,2021-08-04,Ariake Arena
  aldawsari khalifah  ,saudi arabia,Football,F,23,1989-09-23,2021-07-28,Ariake Arena
ALDAWSARI SALEM,  Saudi Arabia  ,Football,M,32,1995-05-12,2021-08-08,Musashino Forest
  aldersey olympia  ,australia,Rowing,F,19,2004-06-13,2021-07-30,Olympic Aquatics Centre
  alegre biosca david  ,spain,Hockey,F,34,2002-11-27,2021-07-28,Musashino Forest
ALEKSANDROVA EKATERINA,  ROC  ,Tennis,F,31,1990-05-21,2021-07-23,Tokyo Stadium
ALEKSANYAN ARTUR,armenia,Wrestling,M,19,1999-04-02,2021-07-31,Ariake Arena
  aleksic maja  ,  Serbia  ,Volleyball,M,26,1985-07-09,2021-07-23,Ariake Arena
  aleksic milan  ,serbia,Water Polo,M,34,1999-10-17,2021-08-05,Olympic Aquatics Centre
  aleksiiva maryna  ,  Ukraine  ,Artistic Swimming,F,27,1992-07-17,2021-08-04,Olympic Aquatics Centre
ALEKSIIVA VLADYSLAVA,ukraine,Artistic Swimming,M,25,1988-11-06,2021-07-28,Tokyo Stadium
  alemanno maria grazia  ,  Italy  ,Weightlifting,F,18,1996-07-02,2021-08-07,Musashino Forest
  alemu habitam  ,  Ethiopia  ,Athletics,M,30,1999-05-28,2021-08-05,Musashino Forest
  alessio simone  ,  Italy  ,Taekwondo,F,25,1991-04-28,2021-08-08,Olympic Aquatics Centre
ALEXANDER KAYLA,canada,Basketball,M,20,2004-03-29,2021-07-28,Ariake Arena
ALEXANDRI ANNA-MARIA,  Austria  ,Artistic Swimming,F,25,1989-06-29,2021-08-01,Tokyo Stadium
ALEXANDRI EIRINI,  Austria  ,Artistic Swimming,F,25,1985-02-11,2021-08-06,Tokyo Stadium
  alexiusson agnes  ,  Sweden  ,Boxing,M,18,1986-01-03,2021-07-24,Olympic Aquatics Centre
ALEXUC CIURARIU ALIN,romania,Wrestling,M,31,2001-06-09,2021-08-01,Tokyo Stadium
ALFADHEL ABDULRAHMAN,kuwait,Rowing,F,28,1999-05-12,2021-08-03,Olympic Aquatics Centre
  alfaraj salman  ,  Saudi Arabia  ,Football,F,26,1996-07-11,2021-08-07,Musashino Forest
ALFONSO DOMINGUEZ LOREN BERTO,azerbaijan,Boxing,M,33,2003-08-22,2021-08-06,Tokyo Stadium
  alghannam khalid  ,saudi arabia,Football,M,22,2005-03-23,2021-07-25,Olympic Aquatics Centre
  algotsson ostholt sara  ,  Sweden  ,Equestrian,F,22,1988-08-18,2021-07-26,Musashino Forest
ALHAMDDAN ABDULLAH,  Saudi Arabia  ,Football,M,28,1994-10-14,2021-07-27,Ariake Arena
  alhassan ali  ,  Saudi Arabia  ,Football,F,23,1996-06-29,2021-08-06,Tokyo Stadium
  alhassane ismael  ,  Niger  ,Judo,F,25,1988-09-02,2021-08-02,Ariake Arena
ALHINDAWI ODAI RIYAD ADEL,  Jordan  ,Boxing,F,29,1993-04-01,2021-08-04,Musashino Forest
  alhumayd mahmoud mohammed s  ,  Saudi Arabia  ,Weightlifting,F,28,1987-12-08,2021-08-07,Tokyo Stadium
ALI ALI MERZA,  Bahrain  ,Handball,M,32,1987-05-13,2021-08-05,Musashino Forest
  ali hasan  ,  Bahrain  ,Handball,M,26,1987-07-05,2021-08-03,Olympic Aquatics Centre
ALI MOHAMED,bahrain,Handball,F,28,1991-12-24,2021-07-25,Tokyo Stadium
ALI MOHAMED,  Bahrain  ,Handball,M,26,2003-02-14,2021-08-06,Tokyo Stadium
ALI MOHAMED SOUHRA,djibouti,Athletics,M,30,1985-12-07,2021-08-01,Olympic Aquatics Centre
ALI RAMLA SAID AHMED,  Somalia  ,Boxing,F,25,2000-10-11,2021-07-26,Olympic Aquatics Centre
  ali selin  ,bulgaria,Shooting,M,20,1987-12-24,2021-08-07,Olympic Aquatics Centre
ALI ZADA MASOMAH,  Refugee Olympic Team  ,Cycling Road,F,32,2001-11-03,2021-07-23,Musashino Forest
ALIEV MOURAD,  France  ,Boxing,M,27,1991-03-06,2021-07-31,Musashino Forest
ALIKAJ AHMAD,  Refugee Olympic Team  ,Judo,F,29,1991-11-14,2021-08-06,Olympic Aquatics Centre
ALIMURADOVA LAMAN,  Azerbaijan  ,Rhythmic Gymnastics,M,30,2005-05-12,2021-08-01,Olympic Aquatics Centre
